icao,lon
EGPB,-1.2956
EGPC,-3.0931
EGPD,-2.1978
EGPE,-4.0475
EGPF,-4.4331
EGPH,-3.3723
EGPI,-6.2575
EGPK,-4.5772
EGPL,-7.3628
EGPN,-3.0258
EGPO,-6.3311
EGPR,-7.4431
EGPU,-6.8692
EGQL,-2.8689
EGQS,-3.3392
EGSC,0.175
EGSH,1.2828
EGSS,0.235
EGSY,-3.4333
EGTC,-0.6167
EGTE,-3.414
EGTK,-1.32
EGUB,-1.096
EGUL,0.5612
EGUN,0.4864
EGVA,-1.7892
EGVN,-1.5836
EGVO,-0.9428
EGWU,-0.4182
EGXC,-0.166
EGXH,0.7729
EGXT,-0.4765
EGXW,-0.5238
EGYD,-0.4931
EGYE,-0.5594
EGYM,0.5507
EGYP,-58.4458
EHAM,4.7639
EHBD,5.6014
EHBK,5.7694
EHDL,5.8731
EHEH,5.3745
EHGG,6.5777
EHGR,4.9318
EHKD,4.7806
EHLE,5.5146
EHLW,5.7606
EHRD,4.4372
EHTW,6.8892
EHVK,5.7078
EHWO,4.342
EICK,-8.4911
EIDL,-8.341
EIDW,-6.2621
EIKN,-8.817
EIKY,-9.5238
EINN,-8.9248
EISG,-8.5992
EIWF,-7.087
EIWT,-6.4904
EKAH,10.6183
EKBI,9.157
EKCH,12.656
EKEB,8.5534
EKKA,9.1043
EKMB,11.4382
EKOD,10.3272
EKRK,12.1314
EKRN,14.7596
EKSB,9.7917
EKSN,10.2294
EKSP,9.267
EKSV,9.173
EKTS,8.7052
EKVG,-7.2758
EKVJ,8.3539
EKYT,9.8499
ELLX,6.2121
ENAL,6.1108
ENAN,16.1394
ENAT,23.3717
ENBN,12.2175
ENBO,14.3653
ENBR,5.2181
ENBS,29.6926
ENBV,29.0341
ENCN,8.0854
ENDU,18.5404
ENEV,16.6781
ENFL,5.0247
ENGM,11.1004
ENHD,5.2084
ENHF,23.6686
ENHV,25.9836
ENKB,7.8245
ENKR,29.8913
ENLK,13.6094
ENMH,27.8267
ENML,7.2625
ENMS,13.2149
ENNA,24.9735
ENNO,9.2132
ENOL,9.604
ENOV,6.0741
ENRA,14.3014
ENRM,11.1461
ENRO,11.3423
ENRY,10.7854
ENSB,15.4656
ENSH,14.6692
ENSK,15.0334
ENSN,9.5669
ENSO,5.3408
ENSR,20.9594
ENSS,31.0449
ENST,12.4689
ENTC,18.9189
ENTO,10.2586
ENVA,10.924
ENVD,29.8447
ENZV,5.6378
EPBY,17.9777
EPCE,17.7657
EPDE,21.8923
EPGD,18.4662
